"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
#살아있다,15941172920,20193069,5425400,0.1,2294800,73.3,1515,713,88.9,1898890,50,61,드라마,조일형,유아인,박신혜,"15세이상관람가"
#아이엠히어,69992350,20197277,33029280,10.3,15286140,86.2,3879,1689,77.1,8512,432,780,멜로/로맨스,에릭 라티고,알랭 샤바,배두나,"12세이상관람가"
"0.0MHz",658800680,20188144,220796140,1.5,87998700,66.3,25945,11024,73.9,85289,409,673,공포(호러),유선동,정은지,이성열,"15세이상관람가"
"007 노 타임 투 다이",11931246100,20191061,17001150,2.1,-25392970,-59.9,1691,-2648,-61,1220536,212,278,액션,캐리 후쿠나가,다니엘 크레이그,라미 말렉,"12세이상관람가"
"007 스카이폴",17396110500,20113461,31301500,1.5,3655500,13.2,4597,409,9.8,2363508,100,225,액션,샘 멘데스,다니엘 크레이그,하비에르 바르뎀,"15세이상관람가"
"007 스펙터",14076319930,20157432,41808600,2,-15700700,-27.3,5911,-1944,-24.7,1791902,200,355,액션,샘 멘데스,다니엘 크레이그,레아 세이두,"15세이상관람가"
"12 솔져스",1694056000,20178395,113542600,2.2,-10401000,-8.4,13112,-1175,-8.2,205651,197,465,액션,니콜라이 퓰시,크리스 헴스워스,마이클 섀넌,"15세이상관람가"
"13시간",788228314,20161630,252720100,3.9,-41115458,-14,30916,-4742,-13.3,96884,380,971,액션,마이클 베이,존 크래신스키,파블로 쉬레이버,"15세이상관람가"
"1917",7774869060,20192399,7043740,3.8,-20317640,-74.3,853,-2106,-71.2,859668,172,222,드라마,샘 멘데스,조지 맥케이,딘-찰스 채프먼,"15세이상관람가"
"1919 유관순",14921000,20197483,12971000,0.7,12971000,100,1465,1465,100,1660,7,7,다큐멘터리,신상민,이새봄,양윤희,"12세이상관람가"
"1984 최동원",24320840,20201876,16206840,1.1,16165840,39428.9,1961,1956,39120,2854,172,316,다큐멘터리,조은성,최동원,조진웅,전체관람가
